Model,Company,Release Date,Parameters,Parameter Accuracy,Release Date Accuracy,Activated Parameters,Context Length,Architecture,Training Data,Key Features,Benchmarks
google/gemini-flash-1.5,Google,February 2024,25.0,estimate,exact,25.0,128K,Multimodal transformer,Diverse multimodal data,"Fastest model in Gemini 1.5 family, optimized for responsiveness","Efficient real-time processing with strong reasoning capabilities"
google/gemma-2-9b-it,Google,May 2024,9.0,exact,exact,9.0,8K,Dense transformer,High-quality curated data,"Open-weight model, instruction-tuned version, compact architecture","Strong performance for its size, efficient deployment options"
google/gemma-3-12b-it,Google,October 2024,12.0,exact,estimate,12.0,128K,Transformer-based,Expanded high-quality dataset,"Enhanced reasoning, context processing, instruction following","Performance approaching much larger closed models, efficient fine-tuning"
google/gemma-3-27b-it,Google,October 2024,27.0,exact,estimate,27.0,128K,Transformer-based,Expanded high-quality dataset,"Larger Gemma-3 variant, improved reasoning and knowledge","Strong performance across reasoning, coding, and general knowledge benchmarks"
meta-llama/llama-4-maverick,Meta,November 2024,90.0,exact,estimate,90.0,128K,Transformer-based,Expanded corpus,System message support and enhanced control,"Strong logical reasoning, instruction following, multimodal capabilities"
meta-llama/llama-4-scout,Meta,November 2024,8.0,exact,exact,8.0,128K,Transformer-based,Expanded corpus,"Compact model from Llama 4 family, optimized for efficiency","Competitive performance in a much smaller parameter footprint"
mistralai/mistral-7b-instruct-v0.3,Mistral AI,December 2023,7.0,exact,exact,7.0,32K,Transformer with grouped-query attention,"High-quality text from the web, books, papers","Efficient attention mechanism, sliding window attention, instruction fine-tuning","Strong performance for its size, 8-bit quantization support"
mistralai/mistral-nemo,Mistral AI,August 2024,12.0,exact,exact,12.0,65K,Transformer with grouped-query attention,Expanded dataset with code emphasis,"Optimized for NVIDIA NeMo framework, efficiency improvements","Enhanced code generation, technical reasoning, and instruction following"
mistralai/mistral-small-3.1-24b-instruct,Mistral AI,September 2024,24.0,exact,exact,24.0,32K,Transformer-based,Extensive multilingual data,"Strong multilingual capabilities, improved reasoning, instruction following","Excellent balance of performance and efficiency in mid-sized model range"
mistralai/mistral-tiny,Mistral AI,May 2024,7.0,exact,exact,7.0,32K,Transformer-based with optimizations,Curated high-quality dataset,"Designed for efficiency, strong single-turn performance","Cost-effective deployment with competitive performance for its size"
x-ai/grok-3-mini-beta,xAI,October 2024,10.0,estimate,estimate,10.0,128K,Transformer-based,Diverse corpus with live data connection,"Real-time information access, reasoning-optimized architecture","Strong performance on coding, reasoning, and general knowledge tasks"
meta-llama/llama-3.1-70b-instruct,Meta,June 2024,70.0,exact,exact,70.0,128K,Dense transformer,Diverse multilingual corpus,"Advanced reasoning, precise instruction following, enhanced safety measures","89.0% on MMLU, 87.1% on GSM8K, strong performance across multilingual benchmarks"
meta-llama/llama-3.1-8b-instruct,Meta,June 2024,8.0,exact,exact,8.0,128K,Dense transformer,Diverse multilingual corpus,"Compact version of Llama 3.1, optimized for efficiency and deployment","70.3% on MMLU, 72.9% on GSM8K, competitive with much larger models"
meta-llama/llama-3.2-1b-instruct,Meta,August 2024,1.0,exact,exact,1.0,8K,Dense transformer,Diverse multilingual corpus,"Ultra-compact model, optimized for edge devices and mobile applications","Efficient deployment in resource-constrained environments, suitable for on-device AI"
meta-llama/llama-3.2-3b-instruct,Meta,August 2024,3.0,exact,exact,3.0,8K,Dense transformer,Diverse multilingual corpus,"Small but capable model, balanced performance and efficiency","Competitive performance in small parameter range, efficient deployment options"
meta-llama/llama-3.3-70b-instruct,Meta,September 2024,70.0,exact,estimate,70.0,128K,Dense transformer with enhanced context processing,Extended training corpus,"Improved context understanding, enhanced instruction following, reduced hallucinations","91.2% on MMLU, 89.5% on GSM8K, state-of-the-art performance in 70B parameter range"
meta-llama/llama-3.1-405b-instruct,Meta,July 2024,405.0,exact,exact,405.0,128K,Dense transformer,Extensive diverse corpus,"Flagship Llama 3.1 model, exceptional reasoning and knowledge","92.5% on MMLU, 91.8% on GSM8K, among the strongest open-source models"
gpt-4o-mini-2024-07-18,OpenAI,July 2024,25.0,estimate,exact,25.0,128K,Multi-modal transformer,Diverse corpus with RLHF,"Compact GPT-4o variant, optimized for speed and efficiency","High performance/efficiency ratio, reliable instruction-following" 
